# Pathway	Exp1A1_prefix.assembled_Coverage	Exp1A2_prefix.assembled_Coverage	Exp1AS1_prefix.assembled_Coverage	Exp1AS2_prefix.assembled_Coverage	Exp1C1_prefix.assembled_Coverage	Exp1C2_prefix.assembled_Coverage	Exp1S1_prefix.assembled_Coverage	Exp1S2_prefix.assembled_Coverage	Exp2A1_prefix.assembled_Coverage	Exp2A2_prefix.assembled_Coverage	Exp2AS1_prefix.assembled_Coverage	Exp2AS2_prefix.assembled_Coverage	Exp2C1New.assembled_Coverage	Exp2C2_prefix.assembled_Coverage	Exp2S1_prefix.assembled_Coverage	Exp2S2_prefix.assembled_Coverage	Exp3A1_prefix.assembled_Coverage	Exp3A2_prefix.assembled_Coverage	Exp3AS1_prefix.assembled_Coverage	Exp3AS2_prefix.assembled_Coverage	Exp3C1_prefix.assembled_Coverage	Exp3C2_prefix.assembled_Coverage	Exp3S1_prefix.assembled_Coverage	Exp3S2_prefix.assembled_Coverage
HSERMETANA-PWY: L-methionine biosynthesis III|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4284867772	0.4932285334	0.4271707188	0	0.4896144184	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	0.0000057315	0	0	0.0007738999	0	0.0153067409	0	0	0	0	0	0	0	0.1033280698	0	0	0	0	0	0.0018201594	0.0061977184	0.0014822456	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.9998432594	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Alloscardovia.s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6565251083	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bifidobacterium.s__Bifidobacterium_longum	0.7275312756	0.6443895664	0.6458936159	0.7057623395	0.4477385952	0.3487277002	0.5728025605	0.7657588529	0	0.7472408147	0.6588230742	0.1995662707	0.5827818317	0.4076367382	0.5689930033	0.8336824383	0.5237114122	0.1823510339	0.3702158951	0.7686842953	0.3306076280	0.4772714441	0.5818552671	0.4062525939
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3669917391	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Butyrivibrio.s__Butyrivibrio_crossotus	0.6328246095	0	0	0	0.3496096496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_longicatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2315973930	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Enterobacter.s__Enterobacter_cloacae	0	0.7850195055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	0.0000000076	0.0000296409	0.9027516572	0.9077246959	0.0003110879	0.0000000036	0.3314180411	0.7829434043	0	0	0.5233843156	0.8125182452	0	0	0	0	0	0	0	0.3148814230	0	0.0008084653	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9599240344	0.9235027247	0.7988893695	0.9319303896	0.9180037071	0.8837658136	0.8573869181	0.8531281644	0.6881234324	0.5943405286	0.7920467476	0.7200784155	0.6131196574	0.2700840605	0.7213384869	0.8138231528	0.8978847490	0.9191631787	0.7839505234	0.7863843029	0.9916760730	0.9256996744	0.9641134534	0.9739922177
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Klebsiella.s__Klebsiella_oxytoca	0.4207080592	0	0.8023916986	0	0.8177491697	0.6803234104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6108813252	0.8999256899	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.9933354766	0.9948365707	0.7526982303	0.9200184832	0.3137278579	0.9895522144	0.9713856479	0.3514154348	0.7403766243	0	0	0	0.9847434195	0.6658542794	0	0	0.8539121732	0.2525203786	0.2210436249	0	0.8130763928	0.6459176822	0.5926708189	0.1678514640
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000032	0.0000002994	0.0000000113	0.0000000000	0.0000000000	0.0000000004	0.0000034916	0	0	0.0077277290	0.0011309654	0	0	0.0000235756	0.0086632636	0.0000223353	0.0000034325	0.0000127748	0.0027845541	0.0000004629	0.0000006079	0.0001138966	0.0004704201
KETOGLUCONMET-PWY: ketogluconate metabolism	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.1617788711	0.5340593136	0.7416844155	0.2243389066	0.3222702582	0.9553351511	0.0796445309	0.4702448532
KETOGLUCONMET-PWY: ketogluconate metabolism|unclassified	0.0000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0.0000000000	0.0000000000	0.0000000000	0.0000742099	0.0000000000	0.0000000000	0.0000000144	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
LACTOSECAT-PWY: lactose and galactose degradation I|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0.8962307642	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Lactobacillus.s__Lactobacillus_ruminis	0.0000000000	0.0000000004	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|unclassified	0.2865176201	0	0	0.0249843785	0.2825618614	0.0865513251	0	0.2941856798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000014	0.0000000049	0	0	0.0048374736	0.0044001006	0	0	0.0000660204	0.0237594058	0.0000000000	0.0000000000	0.0000505794	0.0064227897	0.0000000000	0.0000000000	0.0000265193	0.0012824147
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.3735692668	0.0000000001	0.0150591313	0.2771383150	0.0000000000	0.0002305695	0.4542569376	0.0142057017	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000001	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0.6674614720	0.3069470379	0	0	0.5096548207	0.5155547943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.3457781504	0.3944874996	0.7004775862	0.4142561653	0.4235998018	0.3195592638	0.7007901161	0.0290753068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0	0	0	0.0000000000	0.0000000000	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0.4377481562	0.4594624214	0.5302758024	0	0.4138936628	0.6214968816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.5758384112	0.3679736515	0.6051775890	0.2915375651	0.5331060378	0.7127243832	0.1899036219	0.5662909479	0.1599179811	0.0211416126	0.3293787054	0.4978337190	0.0234494434	0.1519079603	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	0.0000089157	0	0	0.0007737643	0.0658192139	0.0245883642	0	0	0	0.0783519844	0	0	0.0081402002	0.0850771706	0	0	0	0	0	0.0017984160	0.0000077113	0.0038501245	0	0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0	0.0000000000	0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4961073809	0.5889878303	0	0.6641865073	0.7131981636	0	0.6871166921	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
METHGLYUT-PWY: superpathway of methylglyoxal degradation|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000002	0	0	0.0000000084	0.0000000001	0.0000000000	0	0.0000000022	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.3382538340	0.0000000001	0.0129356554	0.2473395955	0.0000000000	0.0001976375	0.4447514213	0.0122010764	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000001	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0.6993579050	0.3227672803	0	0	0.5153862517	0.4847730550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.4206251069	0.4544898626	0.7089813513	0.7981205758	0.4967239049	0.3375486898	0.6851174879	0.0356975294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0	0	0	0.0000000000	0.0000000000	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0.5091556376	0.7692575803	0.5823081213	0	0.4885506540	0.5901995180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.6270261717	0.3509977561	0.7307639734	0.3165048261	0.4976353911	0.6801751628	0.1991517994	0.5350827037	0.1447767436	0.2642206306	0.3088325925	0.4666672881	0.0205196860	0.1345031269	0	0.4385110689	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	0.0000114630	0	0	0.0008434896	0.0820584343	0.0313087246	0	0	0	0.0890624800	0	0	0.0103641384	0.0878136075	0	0	0	0	0	0.0020171054	0.0000099099	0.0033019246	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0024342687	0.0001060261	0.0005863743	0.0000060998	0.0000000164	0.0150722419	0.0000098303	0.0000062048	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000086	0.0000000013	0.0000003182	0.0003260022	0.0000000865	0.0000001827	0.0000475605	0.0000002922
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Enterobacter.s__Enterobacter_aerogenes	0.7762197007	0.3187162209	0	0	0.4774391703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Enterobacter.s__Enterobacter_cloacae	0.5548486014	0.1990673366	0.7133541926	0.3516089594	0.0780219000	0.5245619843	0.6855951436	0.4953456071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Escherichia.s__Escherichia_coli	0.5368586347	0.6770724777	0.4384246075	0.2472082156	0.1820467963	0.3656294968	0.0850467257	0.3343379080	0	0	0.8955233014	0.2584818831	0	0	0.7676923550	0.9526595721	0.4758423212	0.2464734975	0.5295191468	0.8716681100	0.8022314433	0.6303141096	0.8817943172	0.3164281369
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Klebsiella.s__Klebsiella_oxytoca	0.8176520524	0.2797716230	0	0	0.7556131861	0.1032571370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Klebsiella.s__Klebsiella_pneumoniae	0.9791619404	0.7652221785	0.9829895314	0.4134118058	0.8606293831	0.9922796939	0.9240297549	0.8064293576	0.9986495805	0.9960498382	0.5727579062	0.8191871353	0.9988249340	0.8620069267	0.8008963795	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|unclassified	0	0.0000276307	0	0.0012083406	0.0000341242	0	0.0276537768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0000000001	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000050	0.0000000004	0.0000000831	0.0000000000	0.0000000000	0.0000146292	0.0000000046
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0.2462865602	0.3107843730	0	0	0.2765192266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Escherichia.s__Escherichia_coli	0.0177146146	0.2903863738	0.0660702327	0.0195562723	0.1190304630	0.0973356057	0.0638058859	0.0073373959	0	0	0.0353115446	0.2994278844	0	0	0.0710550037	0.5255993904	0.0115822362	0.2998704843	0.0548459797	0.3469866016	0.1100632074	0.0415736316	0.2096125457	0.0057809937
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.0001993079	0.0029570553	0.2910155396	0.0001735674	0.0008820994	0.0372107090	0.0349148581	0.0013471728	0.0984707916	0.0740683416	0	0	0.1485322266	0.0666700873	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|unclassified	0.0001697223	0	0	0	0.0000000000	0	0	0.0015712695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.9990239631	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0.0000000000	0.0000000000	0.0000000003	0.0000000056	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000286	0.0000000124	0.0000000002	0.0000000221	0.0000052422	0.0000081382	0.0000000002	0.0000000002	0.0000868426	0.0002364746	0.0000074306	0.0000000714	0.0000000010	0.0000000000	0.0000000386	0.0000001190
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_angulatum	0.3131643754	0.4961475462	0.2981940068	0.5024113534	0.3765176220	0.0604451831	0.3208780734	0.2655170928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_longum	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0	0.4806815350	0	0.4675499642	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478892180	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4683483098	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0.3302153555	0	0	0	0.0855008372	0	0	0	0.2862283328	0	0.4193446886	0.5670554602	0.5459899082	0	0.0652387455	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000134636	0.0006462180	0.0032338277	0.0528248464	0.0001825664	0.0020486358	0.0081954574	0.4405123148	0.0000046884	0.0000000015	0	0	0.0000000000	0.0000000069	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0	0	0	0	0.3800370876	0	0	0.6439517592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	0.7621071994	0.0876805744	0.1116859388	0.0000602326	0.8772221894	0.3402125908	0	0	0.3630909870	0.2829251925	0.0763703011	0.0113981338	0.3513973800	0	0	0	0	0	0	0	0.2343633216	0	0.5284795513	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.0000013628	0.0000000002	0.0000000009	0.0000000000	0.0000000000	0.0000062312	0.0000000000	0.0000000000	0.0000000000	0.0000392193	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000009	0.0000000000	0.0000000000	0.0000000000	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4208800285	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7257855475	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enterobacter.s__Enterobacter_cloacae	0.4383510235	0.9619689327	0.9711728866	0.9170453950	0.8687058220	0.9891471910	0.6746151848	0.9880710765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9592295473	0	0	0.6468804106	0.3613720537	0	0	0	0.6805347614	0	0	0	0	0	0	0	0.4511962714	0.1285113492	0	0.0116755636	0.4775258048	0.7891434574	0	0.6865920847
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Klebsiella.s__Klebsiella_oxytoca	0.8429689884	0.8452456947	0.3120583264	0	0.8916574901	0.8170347936	0.5979449485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Klebsiella.s__Klebsiella_pneumoniae	0.9988209708	0.9821289185	0.9861558560	0.8469302637	0.9844010130	0.9956275319	0.5812721342	0.9059011530	0.9690221948	0.7401086280	0.7791045488	0.6472658694	0.9299338239	0.9939895179	0	0.4470011358	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.7121663513	0	0	0	0.5426709821	0	0	0	0	0	0	0	0	0	0	0	0	0.4210384981	0	0	0.6072596994	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	0.8059034718	0.6309276959	0.4378337875	0.0238622614	0.5654862103	0.8908841312	0.7132847605	0.5780596528	0.4789048824	0.2052308326	0	0	0.0002219687	0.0637052724	0.0026118089	0	0.0002282273	0.0006888344	0.0072407599	0.5731310885	0.3356098692	0.0588459060	0	0.1635802874
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.9847906977	0.9999999434	0.8382191151	0.9999963332	0.9999989606	0.7708521982	0.0613183003	0.6900423157	0.3172928169	0.8510914534	0.7709868949	0.9926130849	0.9845798235	0.2029723928	0.0065304653	0.7926027782
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_animalis	0.5232087996	0.3186673064	0.5879536114	0.4209010398	0.2714312949	0.1324317162	0.4202835003	0.6019660624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_longum	0.1313675273	0.2989297448	0.0183931575	0.2610048000	0.0347400410	0.2196379591	0.4691069772	0.2953698389	0	0	0	0	0	0	0	0	0.1270218370	0.1586898674	0.0773796992	0.0792148721	0.0555850543	0.2989465341	0.2745374833	0.5285882354
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	0.0000000000	0	0	0	0.0000000000	0	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.0500035862	0.1269874889	0.0019262961	0.1520980260	0.1059267140	0.0000043241	0.0074908429	0.1455797352	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	0.2212483355	0.0042891570	0.0199987910	0	0.0013020089	0.2948126971	0.2833355486	0.2182609671	0.0722531446	0	0	0.0027938377	0	0.0002166679	0	0	0	0.2877582130	0	0	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ORNDEG-PWY: superpathway of ornithine degradation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000001	0.0000001743
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	0.0140950643	0.2350002743	0.0567131238	0.0722680146	0.1100317637	0.0004838513	0.0003446654	0.1462987125	0	0	0.5548994099	0.0954177388	0	0	0.0433030736	0.0958768847	0.0002581018	0.0306304824	0.0234720436	0.0101940597	0.0043524941	0.0188952691	0.2107337822	0.3414711200
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0000005486	0.0000000000	0.0000000000	0.0015198482	0.0001444435	0.0000000000	0.0000002742	0.0000000675	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000001	0.0003431149	0.0000006699	0.0000000632	0.0000000000	0.0000000000	0.0000000221	0.0000000006
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Escherichia.s__Escherichia_coli	0.2096272432	0.7095563086	0.8490923451	0.8292105604	0.3040191365	0.6275450352	0.9769995221	0.2993713073	0	0	0.8747266630	0.6829560640	0	0	0.4914110636	0.7909413120	0.3780394540	0.9455444575	0.7167162822	0.5364999276	0.1108739538	0.0931825151	0.4727305226	0.1200477102
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0.0000000000	0	0.0000000000	0	0.0000000000	0	0	0	0	0	0	0	0	0.0000000000	0	0.0000000000	0	0	0.0000000000	0	0.0000000000
P122-PWY: heterolactic fermentation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0.0000000000	0	0	0	0
