# Pathway	Exp1A1_prefix.assembled_Abundance	Exp1A2_prefix.assembled_Abundance	Exp1AS1_prefix.assembled_Abundance	Exp1AS2_prefix.assembled_Abundance	Exp1C1_prefix.assembled_Abundance	Exp1C2_prefix.assembled_Abundance	Exp1S1_prefix.assembled_Abundance	Exp1S2_prefix.assembled_Abundance	Exp2A1_prefix.assembled_Abundance	Exp2A2_prefix.assembled_Abundance	Exp2AS1_prefix.assembled_Abundance	Exp2AS2_prefix.assembled_Abundance	Exp2C1_New.assembled_Abundance	Exp2C2_prefix.assembled_Abundance	Exp2S1_prefix.assembled_Abundance	Exp2S2_prefix.assembled_Abundance	Exp3A1_prefix.assembled_Abundance	Exp3A2_prefix.assembled_Abundance	Exp3AS1_prefix.assembled_Abundance	Exp3AS2_prefix.assembled_Abundance	Exp3C1_prefix.assembled_Abundance	Exp3C2_prefix.assembled_Abundance	Exp3S1_prefix.assembled_Abundance	Exp3S2_prefix.assembled_Abundance
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000247006	0.000163895	0.000209712	0.000128371	0.000269032	0.000274619	8.01884e-05	0.000131345	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_ruminis	4.02644e-05	2.50191e-05	5.65693e-05	6.54754e-05	3.05895e-05	2.90218e-05	6.52732e-05	6.34298e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	5.69155e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	4.84807e-06	0	0	5.17377e-06	2.42795e-06	0	0	0	0	2.89405e-06	0	3.9671e-06	2.86834e-06	3.64026e-06	0	0	0	4.26158e-06	3.22939e-06	4.30333e-06	7.81329e-06	5.30324e-06	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.00022041	0.000196606	0.000159811	0.000157047	0.000216324	0.000201061	0.000174751	0.000178836	0.000245645	0.000183875	0.000104879	0.00012151	0.000229925	0.000227531	0.0001264	8.21006e-05	9.07565e-05	8.81945e-05	7.91979e-05	8.06642e-05	0.000101823	0.000103332	9.13202e-05	9.07082e-05
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Enterobacter.s__Enterobacter_aerogenes	0	6.44301e-07	0	0	5.97302e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Enterobacter.s__Enterobacter_cloacae	1.75848e-05	1.59114e-05	1.50045e-05	1.40064e-05	2.18194e-05	2.3333e-05	1.3445e-05	1.12915e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	7.88336e-05	7.49347e-05	6.32582e-05	7.10143e-05	8.59289e-05	7.5084e-05	7.73189e-05	8.05934e-05	0	0	3.8998e-05	3.60319e-05	0	0	5.59053e-05	4.07418e-05	4.92216e-05	4.58319e-05	4.06674e-05	4.84316e-05	5.15587e-05	6.13136e-05	5.76062e-05	5.08841e-05
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Klebsiella.s__Klebsiella_pneumoniae	3.67251e-05	3.57971e-05	2.01022e-05	1.6157e-05	4.00929e-05	3.82622e-05	1.8378e-05	1.31779e-05	9.64527e-05	8.77119e-05	0	0	8.89896e-05	9.05356e-05	0	0	0	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	5.03487e-06	3.36112e-06	0	0	0	0	0	0	2.53337e-06	0	2.0675e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	2.5475e-06	2.82705e-06	3.39244e-06	0	2.03579e-06	0	1.87946e-06	2.33921e-06	0	0	0	0	0	0	0	0	0	0	5.63782e-06	2.43041e-06	2.12177e-06	3.60724e-06	4.60924e-06	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	1.88569e-05	1.4325e-05	3.46799e-05	2.95492e-05	1.79853e-05	1.48494e-05	4.33368e-05	4.25396e-05	0	0	1.19018e-05	1.13396e-05	4.13454e-06	0	1.03786e-05	7.52345e-06	2.09337e-05	1.65333e-05	2.31995e-05	2.68899e-05	7.29656e-06	9.63692e-06	1.88397e-05	1.62793e-05
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Escherichia.s__Escherichia_coli	1.07816e-05	1.17277e-05	2.02745e-05	1.3233e-05	1.42421e-05	1.07086e-05	2.08464e-05	1.26057e-05	0	0	4.48128e-06	4.02729e-06	0	0	7.39912e-06	3.49828e-06	6.57109e-06	7.25736e-06	4.25209e-06	4.08322e-06	5.13965e-06	4.41105e-06	7.90144e-06	2.822e-06
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	8.01973e-07	0	0	0	0	0	0	0	0	0	0	0	1.31334e-06	0	0	0	2.08402e-06	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	8.0704e-05	6.34456e-05	6.48809e-05	6.59804e-05	7.73712e-05	6.88479e-05	7.58292e-05	7.04414e-05	0.00016374	0.00011519	8.49802e-05	8.81883e-05	0.000163823	0.000166446	9.91213e-05	0.000115598	3.16193e-05	4.56661e-05	3.55247e-05	3.11648e-05	4.83943e-05	3.80718e-05	4.81697e-05	4.93189e-05
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	6.14659e-05	4.71197e-05	5.26728e-05	5.42824e-05	5.68851e-05	5.26576e-05	6.33665e-05	5.50854e-05	0	0	3.21839e-05	3.42232e-05	0	0	5.04061e-05	5.3158e-05	2.88011e-05	4.37996e-05	3.50796e-05	3.04587e-05	4.34275e-05	3.65362e-05	4.66458e-05	4.74342e-05
PPGPPMET-PWY: ppGpp biosynthesis	0.000105865	0.000110302	9.28593e-05	6.37447e-05	0.000107601	0.000110001	7.02217e-05	7.33732e-05	0.000123074	0.000113826	1.85037e-05	4.48078e-06	0.000115696	0.000115789	1.62813e-05	1.1715e-05	6.29609e-05	6.35396e-05	5.60114e-05	6.77412e-05	7.2107e-05	6.92939e-05	7.59469e-05	6.61425e-05
PPGPPMET-PWY: ppGpp biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	9.2557e-07	1.08174e-06	0	0	1.07217e-06	3.74605e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	1.90331e-05	1.9626e-05	1.64446e-05	1.16796e-05	1.81215e-05	2.17469e-05	9.87777e-06	1.35769e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	5.74006e-07	0	5.4969e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	4.01796e-05	4.21366e-05	2.06009e-05	1.72223e-05	4.0867e-05	4.1303e-05	1.79279e-05	1.91303e-05	0.000108141	0.00010187	1.68567e-06	7.33913e-07	9.93185e-05	0.000102023	0	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70756e-06	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	3.08966e-05	2.95335e-05	1.71916e-05	1.18948e-05	2.98691e-05	3.01507e-05	1.70782e-05	1.72416e-05	8.13498e-05	6.80747e-05	1.36419e-06	0	6.73562e-05	7.3217e-05	0	0	0	0	0	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|g__Klebsiella.s__Klebsiella_pneumoniae	2.9199e-05	2.65918e-05	1.6537e-05	1.12502e-05	2.83195e-05	2.94816e-05	1.63122e-05	1.67858e-05	8.10503e-05	6.71836e-05	1.36419e-06	0	6.73562e-05	7.2628e-05	0	0	0	0	0	0	0	0	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.00013889	0.000131136	0.000106919	9.12154e-05	0.000124311	0.0001065	7.49566e-05	8.73073e-05	0.000208935	0.000153588	0.000119006	0.000141323	0.000185418	0.000101028	9.77608e-05	7.13043e-05	7.54407e-05	6.29381e-05	8.58024e-05	5.86811e-05	5.37813e-05	1.63699e-05	4.58126e-05	5.18599e-05
PWY-1042: glycolysis IV (plant cytosol)	0.000252817	0.000228056	0.000221172	0.000212066	0.000229953	0.000223103	0.000201616	0.000204278	0.000119696	0.000124105	0.000117837	0.000121088	0.000114957	0.000120772	0.000168975	0.00014204	0.00014445	0.000109455	0.000107116	0.0001104	0.000151078	0.00013158	0.000120757	0.000143797
PWY-1042: glycolysis IV (plant cytosol)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56417e-06	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Enterobacter.s__Enterobacter_aerogenes	1.58157e-06	1.08894e-06	0	0	7.36338e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	9.50567e-05	9.97538e-05	0.000104797	8.87938e-05	9.47937e-05	9.26398e-05	0.000105946	0.000107229	0	0	4.43837e-05	4.76471e-05	0	0	8.61994e-05	6.88386e-05	7.16335e-05	5.70486e-05	4.75618e-05	5.77664e-05	6.40143e-05	7.0674e-05	7.12632e-05	8.55986e-05
PWY-1042: glycolysis IV (plant cytosol)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.3092e-06	2.36482e-06	0	1.19542e-06	2.43512e-06	2.25371e-06	1.14708e-06	2.68669e-06	2.28261e-06	0	0	0	0	1.56748e-06	0	0	1.102e-05	5.76957e-06	5.90661e-06	5.53439e-06	1.30892e-05	9.75489e-06	4.70356e-06	1.20339e-05
PWY-1042: glycolysis IV (plant cytosol)|g__Klebsiella.s__Klebsiella_oxytoca	7.14939e-07	2.43008e-06	0	0	1.06814e-06	1.28304e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Klebsiella.s__Klebsiella_pneumoniae	1.96395e-05	1.81393e-05	1.61e-05	7.54947e-06	2.39853e-05	2.22826e-05	1.45567e-05	9.95921e-06	9.89232e-05	0.000102606	0	0	9.35194e-05	9.7423e-05	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|unclassified	1.0254e-05	7.77351e-06	0	7.29553e-06	9.07241e-06	7.81941e-06	6.01523e-06	5.36978e-06	4.11913e-06	1.86073e-06	4.38552e-06	6.33624e-06	3.93419e-06	7.23879e-06	0	0	9.12239e-06	9.5511e-06	9.82824e-06	1.00663e-05	1.59096e-05	6.45608e-06	1.01737e-05	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	9.13081e-05	0.000109362	7.76037e-05	7.95716e-05	0.000105477	9.59452e-05	8.20693e-05	9.83458e-05	8.44416e-06	1.00072e-05	2.63492e-05	4.34139e-05	3.81176e-06	1.46759e-06	5.01495e-05	4.34782e-05	5.83813e-05	6.05146e-05	5.62965e-05	6.28249e-05	5.45557e-05	7.71913e-05	5.46492e-05	7.36253e-05
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Acidaminococcus.s__Acidaminococcus_fermentans	1.22819e-06	0	9.16202e-07	9.62563e-07	6.73813e-07	1.10397e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	1.58416e-05	1.64469e-05	1.31238e-05	1.09023e-05	1.30988e-05	1.24613e-05	6.19906e-06	8.73256e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Escherichia.s__Escherichia_coli	5.6616e-05	6.91615e-05	5.7671e-05	5.62022e-05	7.13979e-05	6.48971e-05	6.74611e-05	7.684e-05	0	0	2.1831e-05	3.69655e-05	0	0	4.97033e-05	3.74512e-05	4.60818e-05	4.67581e-05	3.95721e-05	2.7618e-05	3.85404e-05	4.49363e-05	4.64161e-05	5.82148e-05
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Klebsiella.s__Klebsiella_oxytoca	5.64194e-07	8.68896e-07	0	0	1.53844e-06	7.26418e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	1.3757e-05	1.46649e-05	8.07247e-06	9.13645e-06	1.79098e-05	1.77786e-05	9.2675e-06	5.77158e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|unclassified	0	2.50687e-06	0	0	1.13262e-06	1.76206e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80909e-06	0	0	0	1.24696e-05	6.5941e-06	6.58723e-06	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	1.38942e-06	0	0	2.02261e-06	2.45744e-06	2.20127e-06	0	3.84978e-06	0	3.12142e-06	5.83635e-06	7.27519e-06	2.12142e-06	0	8.4065e-06	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified	1.08368e-06	0	0	1.54574e-06	1.05929e-06	1.17975e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2723: trehalose degradation V	6.89565e-05	6.98847e-05	6.45115e-05	6.28531e-05	7.47833e-05	7.36065e-05	6.16347e-05	5.72068e-05	0	0	3.44699e-05	3.64077e-05	0	0	5.21189e-05	4.35428e-05	6.68855e-05	6.81673e-05	3.65963e-05	3.7739e-05	5.93581e-05	5.94079e-05	6.09161e-05	5.66718e-05
PWY-2723: trehalose degradation V|g__Escherichia.s__Escherichia_coli	3.87584e-05	3.84076e-05	4.38741e-05	4.76487e-05	4.26584e-05	4.23589e-05	5.05236e-05	4.69552e-05	0	0	2.38598e-05	2.38026e-05	0	0	4.23442e-05	2.94534e-05	1.33569e-05	1.40769e-05	2.22859e-05	2.49154e-05	1.40911e-05	2.14593e-05	3.96038e-05	3.69957e-05
PWY-2941: L-lysine biosynthesis II	0.00027355	0.000205328	0.000251144	0.00022933	0.000209813	0.000208115	0.000261264	0.000208028	0.000508077	0.000362146	0.000491129	0.000397841	0.000494928	0.000497223	0.000254362	0.000291883	0	1.21252e-05	0	0	2.11642e-05	4.45138e-06	0	0
PWY-2941: L-lysine biosynthesis II|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58624e-07	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000258589	0.000154477	0.000211047	0.000132292	0.000259426	0.000276295	9.20806e-05	0.000117028	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_ruminis	6.37099e-05	3.79228e-05	7.56853e-05	7.47425e-05	4.40332e-05	3.8083e-05	7.59966e-05	6.92616e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_salivarius	6.71996e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III	0.000328492	0.000304661	0.000309641	0.00026061	0.000336252	0.000330759	0.00028559	0.000294542	0.000546448	0.000438754	0.000557813	0.000434002	0.000556663	0.000560612	0.000361333	0.000380969	0.000531368	0.000491335	0.000469948	0.000475641	0.000507793	0.000535067	0.000462791	0.000476495
PWY-2942: L-lysine biosynthesis III|g__Acidaminococcus.s__Acidaminococcus_fermentans	6.99584e-07	0	0	0	0	0	1.08046e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Alloscardovia.s__Alloscardovia_omnicolens	4.18263e-07	0	0	0	0	0	6.5692e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Bifidobacterium.s__Bifidobacterium_animalis	3.68884e-06	3.26203e-06	3.28417e-06	2.35463e-06	5.1149e-06	4.47402e-06	2.22433e-06	2.74089e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	9.07396e-07	0	0	0	0	0	0	0	0	0	6.04842e-07	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0	0	0	6.11024e-07	6.98497e-07	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Escherichia.s__Escherichia_coli	0	8.65175e-06	1.91287e-06	0	8.95856e-06	4.82238e-06	2.02588e-06	1.10701e-05	0	0	0	0	0	0	0	0	0	3.21581e-06	2.72821e-06	0	0	2.70613e-06	0	0
PWY-2942: L-lysine biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	9.72443e-07	9.38721e-07	0	0	0	0	0	0	0	0	0	0	0	1.12065e-06	0	0	0	0	0	2.45228e-06	2.17583e-06	0	2.22613e-06	0
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000245869	0.000149511	0.000207455	0.000126179	0.000251613	0.000275997	8.9392e-05	0.00012388	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Prevotella.s__Prevotella_copri	5.14842e-06	3.65713e-06	3.94523e-06	3.44441e-06	3.61403e-06	2.16765e-06	3.80922e-06	4.53009e-06	2.62764e-06	2.5976e-06	2.70563e-06	2.25339e-06	2.33818e-06	1.67422e-06	1.68764e-06	1.99355e-06	9.26412e-07	1.18215e-06	0	8.26691e-07	1.78816e-06	1.64368e-06	0	1.36124e-06
PWY-2942: L-lysine biosynthesis III|unclassified	4.24107e-06	4.76645e-06	4.62075e-06	4.05792e-06	4.45772e-06	0	3.64021e-06	2.63687e-06	3.00047e-06	2.19335e-06	1.82942e-06	3.8366e-06	2.4586e-06	0	2.9902e-06	0	1.27387e-05	8.16715e-06	1.00322e-05	7.79236e-06	8.15893e-06	0	8.6525e-06	8.9207e-06
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.000450068	0.000421387	0.000439051	0.000381522	0.000462087	0.000456302	0.000413732	0.000422612	0.000516981	0.000487547	0.000702259	0.000605165	0.00052238	0.000463207	0.000513911	0.000537693	0.000727607	0.000671327	0.000673645	0.00067777	0.000684421	0.000727646	0.000656602	0.000679252
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	1.6921e-05	1.1543e-05	8.62026e-06	8.0931e-06	9.88793e-06	4.0608e-06	5.30504e-06	6.6115e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	3.97971e-05	4.36422e-05	2.82828e-05	1.45577e-05	4.8224e-05	4.50773e-05	2.14201e-05	1.9831e-05	0	0	4.18968e-06	2.07026e-06	0	0	0	0	0	0	0	7.71486e-06	0	6.63637e-06	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.0546e-06	1.69272e-06	1.33155e-06	1.35496e-06	1.78861e-06	2.05139e-06	1.82585e-06	0	0	1.06309e-06	9.73398e-07	1.43106e-06	9.80971e-07	8.00112e-07	0	0	6.6825e-06	7.43378e-06	4.70958e-06	5.75116e-06	5.36268e-06	9.1018e-06	6.18486e-06	7.66755e-06
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Klebsiella.s__Klebsiella_oxytoca	1.50493e-06	0	0	0	8.67156e-07	9.33528e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24493e-06	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	3.2272e-06	3.44543e-06	2.95815e-06	1.36659e-06	3.83883e-06	3.79366e-06	0	0	0	0	0	0	1.12175e-06	0	0	0	5.17008e-06	6.42382e-06	0	0	5.89215e-06	0	5.95107e-06	0
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	2.40058e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II	0.000306427	0.000305441	0.000314078	0.000278014	0.000316071	0.00028799	0.000305637	0.000301005	0.000571506	0.000455432	0.000605384	0.000500867	0.000531006	0.000536543	0.000475346	0.000502285	0.000332399	0.000284947	0.000324687	0.000300689	0.000359515	0.00030009	0.000336542	0.00033152
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17366e-06	8.42483e-07	0	0	0
PWY-3841: folate transformations II|g__Enterobacter.s__Enterobacter_aerogenes	0	5.96147e-07	0	0	1.48123e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Enterobacter.s__Enterobacter_cloacae	2.0031e-05	2.02069e-05	1.22115e-05	1.28102e-05	2.33872e-05	2.00597e-05	8.35921e-06	1.45872e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Escherichia.s__Escherichia_coli	4.26951e-05	3.41008e-05	4.9983e-05	4.74972e-05	3.99715e-05	4.31632e-05	5.58387e-05	5.7137e-05	0	0	2.61237e-05	3.20407e-05	0	0	4.00029e-05	3.65509e-05	2.49768e-05	1.94876e-05	3.08161e-05	2.7519e-05	2.58514e-05	2.41583e-05	3.63763e-05	3.22913e-05
PWY-3841: folate transformations II|g__Klebsiella.s__Klebsiella_oxytoca	1.56016e-06	1.83262e-06	6.09061e-07	0	1.54098e-06	2.04423e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Klebsiella.s__Klebsiella_pneumoniae	1.73024e-05	2.43197e-05	1.02646e-05	1.18226e-05	2.34597e-05	1.97403e-05	1.19536e-05	1.08163e-05	7.81095e-05	7.74413e-05	0	0	7.39345e-05	8.29176e-05	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000269332	0.00015394	0.00020863	0.000132222	0.000246441	0.00027572	9.43331e-05	0.000121215	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|unclassified	4.9721e-06	2.04885e-06	1.29421e-06	0	6.60845e-07	0	0	0	0	0	0	0	0	0	0	0	6.38478e-06	0	0	0	4.71524e-06	8.53875e-06	0	0
PWY-4041: &gamma;-glutamyl cycle	0.000165415	0.000178749	0.000124615	0.00011215	0.000175124	0.000176466	0.000134147	0.000119147	0.000171108	0.000151157	5.10565e-05	5.80436e-05	0.000151499	0.000165362	8.93454e-05	7.66062e-05	6.17995e-05	7.21114e-05	4.98741e-05	4.32822e-05	6.9507e-05	7.46981e-05	6.37643e-05	6.99467e-05
PWY-4041: &gamma;-glutamyl cycle|g__Enterobacter.s__Enterobacter_aerogenes	9.83188e-07	5.69632e-07	0	0	1.13059e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Enterobacter.s__Enterobacter_cloacae	0	0	3.78419e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	0.000106043	0.000117807	8.82851e-05	8.12896e-05	0.000112415	0.000112782	9.83145e-05	9.02311e-05	0	0	3.28931e-05	4.20234e-05	0	0	6.23519e-05	5.51659e-05	6.17995e-05	7.14702e-05	4.94808e-05	4.26157e-05	6.89094e-05	7.4255e-05	6.37643e-05	6.90856e-05
PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_oxytoca	9.42912e-07	0	0	0	8.03777e-07	9.59504e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_pneumoniae	4.69767e-05	4.75132e-05	2.67792e-05	2.32954e-05	4.94547e-05	4.6478e-05	2.64089e-05	2.19447e-05	0.000129047	0.000112731	6.96954e-07	0	0.000115985	0.000122311	9.01738e-07	7.49374e-07	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|unclassified	0	6.3286e-07	0	0	0	1.3316e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III	0.000120922	0.000121535	0.000113971	0.000127263	0.000126367	0.000111097	0.000130474	0.000101942	0.000369088	0.000244513	0.000388559	0.000275323	0.00039462	0.000376314	0.000229085	0.000253725	9.53216e-05	8.48621e-05	5.49708e-05	6.49522e-05	6.86973e-05	6.48522e-05	8.75371e-05	7.03056e-05
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Escherichia.s__Escherichia_coli	6.9979e-05	6.55915e-05	6.83945e-05	6.09722e-05	7.26822e-05	6.46536e-05	7.2264e-05	6.2161e-05	0	0	2.79985e-05	3.91882e-05	0	0	4.15271e-05	4.03495e-05	4.03603e-05	5.04933e-05	3.24056e-05	3.82928e-05	4.25137e-05	4.06153e-05	4.26473e-05	3.2182e-05
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0	0	0	0	0	5.46773e-07	1.0503e-06	0	6.99403e-07	0	0	1.9886e-06	0	0	0	0	3.73699e-06	0	0	2.12215e-06	0	1.9175e-06	1.09244e-06	3.06201e-06
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000248159	0.000152497	0.000197592	0.000120395	0.000239093	0.000246987	7.59973e-05	0.000112727	0	0	0	0	0	0	0	0
